variable,project_id,RCM,domain,frequency,GCM,experiment_id,period_start,period_end,n_files,path2files
tasmax,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
huss,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ua1000,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
od550aer,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ta850,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
evspsbl,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 12:00:00,2100-12-31 12:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
zg700,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
tsroof,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
rsus,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 12:00:00,2100-12-31 12:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ta700,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ta50m,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ts,I4C,WRF451I,ALPX-3f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
sfturf,I4C,WRF451I,ALPX-3f,fx,NorESM2-MM,ssp370,-,-,1,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
sftlaf,I4C,WRF451I,ALPX-3f,fx,NorESM2-MM,ssp370,-,-,1,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
sftlf,I4C,WRF451I,ALPX-3f,fx,NorESM2-MM,ssp370,-,-,1,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
orog,I4C,WRF451I,ALPX-3f,fx,NorESM2-MM,ssp370,-,-,1,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
